trace,pos_x,pos_y,vel_x,vel_y,action,result
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,-0.0,0,False
183,0.17,-0.01,-0.0,-0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,0.0,-0.0,0,False
183,0.17,-0.01,0.0,-0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,-0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
